word,question-1,question-2,question-3,question-4,question-5,question-6,question-7,question-8,question-9,question-10,question-11,question-12,question-13,question-14
how,0.047619047619047616,0.07142857142857142,0.06451612903225806,0.0625,0.047619047619047616,0.015384615384615385,0.052083333333333336,0.05,0.029411764705882353,0.029850746268656716,0.03278688524590164,0.046875,0.030303030303030304,0.031746031746031744
cre,0.04914196567862714,0.04540540540540541,0.016930638995084655,0.032753326509723645,0.0327613104524181,0.015380974917179366,0.010863415186149146,0.017226528854435832,0.01491882404563405,0.015144665461121155,0.016657564172583288,0.016116847141777888,0.01537744641192917,0.016120777891504606
work,0.06768560461545327,0.015596528056287208,0.016925787276779458,0.01664024934826045,0.016644368661451983,0.015377337033060127,0.01086213330463574,0.017221418341774698,0.014915504282293136,0.015141192663666944,0.016652943406367915,0.016112661833366862,0.015373811030510777,0.0161165895206034
are,0.07121943223641124,0.015592735097163477,0.016920939727472228,0.016635642973682963,0.0166397588657192,0.015373701729203717,0.010860851876818636,0.01721631237520044,0.014912186734289594,0.015137722254323846,0.016648326483742128,0.016108479784134516,0.015370178226397945,0.016112404412855722
mak,0.03756879829616374,0.04676683471252961,0.016916096341195466,0.016631040422768396,0.01663515289838251,0.015370069002561238,0.01085957090243027,0.017211210947976667,0.014908871399160514,0.015134254230355967,0.016643713399380037,0.016104300989852858,0.015366547996546659,0.016108222564026352
what,0.03826049805026498,0.016078517168382357,0.01691125711199361,0.01662644169022946,0.03326110150829095,0.0460993165502665,0.010858290381203286,0.017206114053380933,0.029811116548893655,0.0453923657670954,0.01663910414796608,0.016100125446301558,0.04608876101375384,0.03220808793977553
process,0.038977620638307495,0.016074361645076134,0.016906422033923042,0.016621846770789105,0.033804591457721994,0.047526268787495475,0.010857010312870554,0.01720102168470474,0.030248547047364828,0.03118383134661102,0.016634498724194997,0.01609595314926796,0.03167670512737874,0.03271801001910044
sam,0.019860786623647788,0.06428083736956508,0.016901591101052018,0.01661725565918049,0.017182908441035108,0.03269549208177225,0.05427865348582584,0.01719593383525347,0.015349399890550626,0.015831054838451188,0.016629897122771794,0.01609178409454703,0.016085043172536364,0.016622028175622826
group,0.0198529556085261,0.06746361002950098,0.01689676430746066,0.016612668350146936,0.017177836644526847,0.016610410590234114,0.01134153027009641,0.01719085049834637,0.015345784361190365,0.01582708821724264,0.016625299338411746,0.016087618277941366,0.01608088258807467,0.016617436913723044
from,0.01984513385051859,0.053230480310146974,0.016891941647240914,0.016608084838441943,0.017172769336863698,0.03321165789342131,0.03402021477955439,0.03437154333463301,0.030684342771451815,0.015823124576413373,0.033241410731680666,0.016083455695261168,0.016076725230773144,0.03322569890921151
op,0.019837321331399975,0.055134979923861314,0.016887123114496538,0.049810515356487374,0.01716770651142768,0.016876774109835162,0.011598656109595509,0.017475783521155773,0.015573775336345902,0.015819163912232804,0.016892131679475276,0.016079296342324217,0.01607257109646182,0.01688402163106303
new,0.01982951803299519,0.05717874049338103,0.033764617406686105,0.03431823400584276,0.05148794448484337,0.016871968542885484,0.011597095965918632,0.01747044799375805,0.015569998950214525,0.0158152062209769,0.016887312984136323,0.01607514021495587,0.016068420180978253,0.01687920987155802
ad,0.01982172393717918,0.019792483097705198,0.05148679330513694,0.01744823861621749,0.017756452831334667,0.01686716707906339,0.011595536451668833,0.017465117350840696,0.015566225310109209,0.015811251498928144,0.016882498410620003,0.01607098730898903,0.01606427248016754,0.01687440222399466
memb,0.019813939025876734,0.01978473257933499,0.07102416982330205,0.017442928273153694,0.03550171227039596,0.01686236971253293,0.011593977566422982,0.01745979158495519,0.015562454412703418,0.015807299742375523,0.01687768795305311,0.016066837620264136,0.016060127989882267,0.01686959868251945
perform,0.019806163281062307,0.01977699116007898,0.03746028254492929,0.017437622776214506,0.01806005640741807,0.016857576437469768,0.011592419309758354,0.01745447068866892,0.015558686254676254,0.015803350947614515,0.016872881605574156,0.016062691144629136,0.016055986705982524,0.01686479924129054
admit,0.019798396684759852,0.019769258822145745,0.03814803457270196,0.017432322118033146,0.018054167758282755,0.01685278724806115,0.011590861681252618,0.017449154654565105,0.01555492083271245,0.015799405110947077,0.01686807936233332,0.016058547877939484,0.01605184862433585,0.016860003894477716
microfin360,0.01979063921904263,0.019761535547792548,0.038860993159852225,0.01742702629125851,0.01804828486616506,0.016848002138505874,0.011589304680483841,0.017443843475242783,0.015551158143502346,0.015795462228681622,0.016863281217492452,0.01605440781605811,0.01604771374081726,0.01685521263626236
sav,0.01978289086603305,0.019753821319325137,0.019800274793881793,0.06968694115422043,0.018042407721689937,0.01684322110301428,0.04635099322812194,0.017438537143316748,0.04664219455122568,0.01579152229713301,0.016858487165224992,0.016050270954855415,0.016043582051309183,0.016850425460837426
account,0.019775151607902493,0.019746116119097594,0.019792515120873377,0.07343592892716184,0.0180365363155037,0.016838444135808178,0.011998407497135866,0.017433235651417522,0.016034355657963628,0.015787585312622542,0.016853697199716,0.016046137290209237,0.016039453551701482,0.016845642362407407
gen,0.019767421426871136,0.019738419929512144,0.019784764564893167,0.03880278935817876,0.01803067063827395,0.016833671231120874,0.01199668043363695,0.01742793899219129,0.016030234275732507,0.015783651271477926,0.01684891131516208,0.016042006818004845,0.016035328237891413,0.06736345334075323
disburs,0.019759700305207777,0.019730732733019014,0.019777023108100724,0.01977007829791217,0.05407443204206862,0.016828902383197092,0.011994954115745212,0.017422647158299887,0.016026116070152502,0.015779720170033273,0.016844129505771376,0.016037879534134925,0.01603120610578362,0.017715814297704656
loan,0.01975198822522968,0.01972305451211624,0.019769290732704423,0.01976235406333331,0.07472004377195433,0.01682413758629297,0.04797291417169723,0.01741736014242072,0.0160220010371447,0.047327376013887285,0.016839351765763528,0.01603375543449955,0.016027087151290108,0.017710255932530165
entry,0.019744285169302385,0.019715385249349515,0.019761567420961326,0.019754638876514165,0.019759768925165296,0.05045813050402807,0.012433425718543107,0.017412077937246764,0.0640715566905501,0.06510884314286446,0.01683457808936965,0.03205926903001236,0.06409188548132096,0.017704702796459203
regul,0.019736591119839553,0.01970772492731201,0.01975385315517698,0.019746932719803705,0.01975205676486208,0.05216874788726048,0.012431503931416761,0.01740680053548649,0.01680834136926859,0.01709381375550706,0.0168298084708323,0.01628226585594527,0.01681393187727582,0.01769915488129749
